# v(mm/s) counts error
8.60744 8650305 2941
8.65375 8650287 2941
8.70007 8648423 2941
8.74639 8647280 2941
8.7927 8656297 2943
8.83902 8651431 2941
8.88534 8655045 2941
8.93165 8648128 2941
8.97797 8646868 2941
9.02429 8649013 2941
9.07061 8654111 2943
9.11692 8649359 2941
9.16324 8651952 2941
9.20956 8652029 2941
9.25587 8649143 2941
9.30219 8652266 2941
9.34851 8649173 2941
9.39482 8647476 2941
9.44114 8652529 2941
9.48746 8649949 2941
9.53378 8649665 2941
9.58009 8648319 2941
9.62641 8652671 2941
9.67273 8663009 2943
9.71904 8649057 2941
9.76536 8648587 2941
9.81168 8646764 2941
9.85799 8651758 2941
9.90431 8654405 2941
9.95063 8648669 2941
9.99694 8651617 2941
10.0433 8654890 2943
10.0896 8663536 2943
10.1359 8662035 2943
10.1822 8649632 2941
10.2285 8654401 2941
10.2748 8650877 2941
10.3212 8661494 2943
10.3675 8658141 2943
10.4138 8661821 2943
10.4601 8661141 2943
10.5064 8659522 2943
10.5527 8658536 2943
10.5991 8654355 2943
10.6454 8645292 2941
10.6917 8652168 2941
10.738 8657326 2943
10.7843 8660468 2943
10.8306 8651675 2941
10.877 8649286 2941
10.9233 8652045 2941
10.9696 8655099 2941
11.0159 8650717 2941
11.0622 8644498 2941
11.1086 8650527 2941
11.1549 8647630 2941
11.2012 8644060 2941
11.2475 8651276 2941
11.2938 8647477 2941
11.3401 8650907 2941
11.3865 8647169 2941
11.4328 8649981 2943
11.4791 8646760 2941
11.5254 8648886 2941
11.5717 8648191 2941
11.618 8648794 2941
11.6644 8662882 2943
11.7107 8651947 2941
11.757 8647799 2941
11.8033 8649734 2941
11.8496 8653336 2941
11.8959 8650558 2941
11.9423 8651736 2941
